sales_key,date_key,customer_key,product_key,store_key,quantity,discount,sales_amount,profit
1,20231217,419,28,1,1,0.0,886.0,244.44
2,20250116,521,1,1,4,0.0,3700.0,399.06
3,20230804,887,5,2,4,0.1,2012.4,479.15
4,20250509,497,4,3,2,0.05,1489.6,434.52
5,20230530,10,27,2,4,0.0,1016.0,248.26
6,20230620,943,18,2,5,0.0,2185.0,372.36
7,20240716,58,21,3,2,0.1,1006.2,154.34
8,20240503,157,11,2,1,0.1,977.4,144.74
9,20251023,632,18,1,2,0.05,830.3,166.08
10,20231213,537,17,1,2,0.15,1399.1,341.31
11,20241021,114,7,1,4,0.15,2536.4,712.13
12,20251016,228,9,2,1,0.15,374.0,101.32
13,20250921,429,18,3,2,0.1,786.6,86.19
14,20241002,989,13,2,2,0.0,2342.0,446.77
15,20220706,733,9,1,3,0.05,1254.0,234.19
16,20230120,554,24,2,3,0.15,2172.6,304.79
17,20230624,893,6,2,3,0.15,1438.2,392.09
18,20240216,637,14,2,2,0.1,2376.0,421.22
19,20240105,621,6,1,1,0.05,535.8,104.66
20,20230123,25,13,3,1,0.0,1171.0,263.86
21,20230620,19,23,1,1,0.15,940.95,269.21
22,20241218,796,19,2,5,0.15,6336.75,857.63
23,20250819,937,15,3,2,0.05,2150.8,446.78
24,20220602,798,21,1,1,0.1,503.1,96.07
25,20230530,700,13,1,4,0.1,4215.6,900.29
26,20220710,202,11,2,3,0.0,3258.0,409.56
27,20250116,430,4,3,4,0.05,2979.2,879.29
28,20220804,69,5,2,5,0.1,2515.5,735.66
29,20231130,314,9,1,4,0.05,1672.0,175.73
30,20251221,547,14,1,1,0.0,1320.0,293.25
31,20220110,579,13,2,2,0.0,2342.0,643.97
32,20251101,854,16,2,2,0.1,2687.4,522.19
33,20240404,674,27,3,5,0.15,1079.5,163.22
34,20240510,547,23,3,2,0.15,1881.9,438.74
35,20220724,786,7,3,5,0.15,3170.5,722.57
36,20231001,969,27,1,2,0.15,431.8,49.67
37,20231231,354,22,1,4,0.15,1917.6,560.31
38,20240409,94,17,1,2,0.05,1563.7,441.8
39,20240416,14,23,3,3,0.1,2988.9,748.57
40,20220924,61,29,2,2,0.0,1704.0,301.14
41,20250615,799,7,3,1,0.0,746.0,129.31
42,20220207,282,13,1,4,0.15,3981.4,872.34
43,20251229,792,30,1,1,0.0,37.0,6.83
44,20220121,136,4,2,3,0.15,1999.2,278.18
45,20221006,977,4,1,3,0.0,2352.0,650.77
46,20251014,735,22,3,5,0.15,2397.0,309.94
47,20221023,599,17,2,5,0.0,4115.0,668.81
48,20221130,302,28,3,2,0.1,1594.8,165.44
49,20250602,810,3,3,2,0.0,1820.0,244.53
50,20220424,233,9,3,2,0.05,836.0,111.83
51,20220710,6,18,3,4,0.05,1660.6,442.35
52,20230303,575,22,1,3,0.0,1692.0,178.32
53,20250618,991,28,2,1,0.15,753.1,97.45
54,20241215,802,18,1,5,0.0,2185.0,537.41
55,20250810,270,23,1,2,0.15,1881.9,261.05
56,20220528,350,10,3,3,0.05,3485.55,452.41
57,20220625,11,12,1,2,0.15,1630.3,478.41
58,20240320,358,26,2,4,0.05,1045.0,182.48
59,20250207,130,20,2,4,0.0,3756.0,778.61
60,20240727,664,15,3,2,0.1,2037.6,334.58
61,20230920,672,1,1,2,0.15,1572.5,299.31
62,20241217,553,25,2,5,0.0,115.0,21.58
63,20250908,489,10,2,1,0.0,1223.0,313.95
64,20250216,828,10,2,5,0.0,6115.0,1582.97
65,20250926,815,27,1,2,0.1,457.2,136.39
66,20230102,901,16,1,1,0.15,1269.05,300.42
67,20220411,421,5,3,2,0.0,1118.0,213.35
68,20240528,218,28,1,4,0.0,3544.0,623.58
69,20240815,65,11,3,4,0.05,4126.8,922.96
70,20220830,252,11,3,2,0.0,2172.0,251.92
71,20220826,288,27,2,5,0.0,1270.0,378.69
72,20220416,827,6,2,5,0.05,2679.0,458.58
73,20251117,721,21,1,3,0.0,1677.0,265.0
74,20220205,314,26,1,1,0.1,247.5,33.54
75,20240514,727,26,1,4,0.05,1045.0,269.82
76,20230224,1000,23,2,3,0.05,3154.95,553.36
77,20230616,46,24,3,2,0.05,1618.8,347.16
78,20250503,698,25,2,2,0.1,41.4,11.44
79,20250520,436,12,1,2,0.1,1726.2,259.32
80,20230105,847,3,3,5,0.0,4550.0,811.0
81,20220325,470,30,3,3,0.05,105.45,18.67
82,20241217,935,6,2,4,0.0,2256.0,520.06
83,20230912,694,23,1,4,0.0,4428.0,978.25
84,20250407,465,9,3,4,0.0,1760.0,458.86
85,20230326,241,11,1,4,0.15,3692.4,776.91
86,20251228,609,10,3,1,0.15,1039.55,235.79
87,20250415,468,17,3,3,0.1,2222.1,234.47
88,20240819,978,22,1,1,0.1,507.6,62.54
89,20250224,732,23,2,3,0.05,3154.95,770.91
90,20230807,724,9,1,1,0.1,396.0,103.57
91,20240717,92,8,2,3,0.0,735.0,195.31
92,20220226,136,15,3,1,0.0,1132.0,177.07
93,20240509,190,22,1,2,0.05,1071.6,288.49
94,20250115,32,28,2,5,0.05,4208.5,1185.65
95,20250206,178,27,3,1,0.05,241.3,57.38
96,20240722,67,16,3,5,0.15,6345.25,1683.0
97,20220914,413,9,1,1,0.05,418.0,70.21
98,20240922,374,6,3,4,0.05,2143.2,373.68
99,20240127,492,7,2,1,0.15,634.1,138.47
100,20221104,112,23,3,2,0.1,1992.6,483.92
101,20250118,999,30,2,4,0.0,148.0,17.93
102,20220809,750,24,2,5,0.15,3621.0,581.03
103,20251207,627,29,2,3,0.1,2300.4,490.69
104,20220724,8,15,2,5,0.0,5660.0,722.46
105,20240210,775,9,3,2,0.0,880.0,137.62
106,20231115,545,8,1,1,0.05,232.75,58.0
107,20220727,487,14,1,3,0.05,3762.0,380.62
108,20240825,193,29,3,3,0.15,2172.6,627.12
109,20230606,758,26,1,2,0.0,550.0,101.04
110,20230720,395,18,3,2,0.1,786.6,89.76
111,20220410,369,28,2,3,0.05,2525.1,603.68
112,20240801,572,18,3,2,0.0,874.0,223.3
113,20230622,926,11,3,3,0.0,3258.0,750.49
114,20250822,501,21,3,2,0.15,950.3,262.5
115,20241204,511,10,3,3,0.1,3302.1,837.28
116,20250405,483,15,3,2,0.15,1924.4,335.63
117,20251017,414,26,3,5,0.05,1306.25,135.01
118,20250106,331,11,1,4,0.1,3909.6,998.93
119,20250329,105,19,1,5,0.0,7455.0,2051.61
120,20250125,29,10,3,5,0.0,6115.0,1477.27
121,20240910,408,11,2,3,0.0,3258.0,773.72
122,20241118,592,20,1,4,0.15,3192.6,840.85
123,20240208,705,16,2,2,0.15,2538.1,343.0
124,20241013,753,17,1,5,0.05,3909.25,1105.47
125,20230701,680,26,3,3,0.1,742.5,178.34
126,20230311,157,22,2,4,0.0,2256.0,364.68
127,20250130,453,16,2,2,0.0,2986.0,326.27
128,20230717,467,23,2,4,0.05,4206.6,529.58
129,20230607,896,22,3,2,0.05,1071.6,165.05
